,count,PointName,Lng,Lat,geometry
55,12669.42857142857,古翠路站,120.113012690039,30.2844534612821,POINT (120.113012690039 30.2844534612821)
56,14421.142857142857,丰潭路站,120.104533233349,30.2841584836561,POINT (120.104533233349 30.2841584836561)
57,11717.142857142857,文新站,120.093337478412,30.2917339082531,POINT (120.093337478412 30.2917339082531)
58,12005.57142857143,三坝站,120.0932528668,30.3020679407502,POINT (120.0932528668 30.3020679407502)
59,9187.0,虾龙圩站,120.091517150771,30.3117193001754,POINT (120.091517150771 30.3117193001754)
60,9391.285714285714,三墩站,120.088184434991,30.3224078560755,POINT (120.088184434991 30.3224078560755)
61,9387.714285714286,墩祥街站,120.082779755201,30.3339496910158,POINT (120.082779755201 30.3339496910158)
62,10671.857142857143,金家渡站,120.079229319529,30.341362396219,POINT (120.079229319529 30.341362396219)
63,4622.857142857143,白洋站,120.068184268759,30.3535278077778,POINT (120.068184268759 30.3535278077778)
64,8846.142857142857,杜甫村站,120.051852679897,30.3612378582151,POINT (120.051852679897 30.3612378582151)
65,6111.857142857143,良渚站,120.038022354359,30.3613618670082,POINT (120.038022354359 30.3613618670082)
66,6476.714285714285,浦沿站,120.14846634705,30.162346165868,POINT (120.14846634705 30.162346165868)
67,6839.857142857143,杨家墩站,120.14416045904,30.1701940695406,POINT (120.14416045904 30.1701940695406)
68,8843.42857142857,中医药大学站,120.141628428543,30.1782411311957,POINT (120.141628428543 30.1782411311957)
69,8135.714285714285,联庄站,120.147375089161,30.1889440133156,POINT (120.147375089161 30.1889440133156)
70,5982.857142857143,水澄桥站,120.147328074202,30.2063314246336,POINT (120.147328074202 30.2063314246336)
71,3467.5714285714284,复兴路站,120.158928130927,30.2125733657137,POINT (120.158928130927 30.2125733657137)
72,7012.0,南星桥站,120.173012458853,30.2197856051212,POINT (120.173012458853 30.2197856051212)
73,2498.8571428571427,甬江路站,120.185452051821,30.2261803268705,POINT (120.185452051821 30.2261803268705)
74,5227.0,城星路站,120.202408613956,30.2421197041509,POINT (120.202408613956 30.2421197041509)
75,14083.42857142857,市民中心站,120.206816732036,30.2473111643859,POINT (120.206816732036 30.2473111643859)
76,10387.714285714286,江锦路站,120.210889048268,30.2521136410761,POINT (120.210889048268 30.2521136410761)
77,14385.857142857143,景芳站,120.203173885432,30.2684504282292,POINT (120.203173885432 30.2684504282292)
78,5367.857142857143,新塘站,120.202729396545,30.2786369913785,POINT (120.202729396545 30.2786369913785)
79,3630.1428571428573,新风站,120.203111953436,30.2896903061715,POINT (120.203111953436 30.2896903061715)
